Titel,Jahr,Authoren,ISBN,ISSN,DOI,Journal,Monat,Issue,Nummer,URL,Gruppen,
Information Extraction Tasks in Public Administration Domain: ISIDA-T Natural Language Processing System,2019,"Andrei Vinogradov, Evgeny Kurshev, Natalia Vlasova, Alexey Podobryaev",9781450376709,,10.1145/3373722.3373782,,,,,https://doi.org/10.1145/3373722.3373782,NOK1,
"Towards a Decentralized, Trusted, Intelligent and Linked Public Sector: A Report from the Greek Trenches",2019,"Themis Beris, Iosif Angelidis, Ilias Chalkidis, Charalampos Nikolaou, Christos Papaloukas, Panagiotis Soursos, Manolis Koubarakis",9781450366755,,10.1145/3308560.3317077,,,,,https://doi.org/10.1145/3308560.3317077,"OK1, OK2, NOK3",
Enabling Trust in Healthcare Data Exchange with a Federated Blockchain-Based Architecture,2019,"Mirko Koscina, David Manset, Claudia Negri Ribalta, Octavio Perez",9781450369886,,10.1145/3358695.3360897,,,,,https://doi.org/10.1145/3358695.3360897,"OK1, OK2, OK3",
CUREX: SeCUre and PRivate HEalth Data EXchange,2019,"Farnaz Mohammadi, Angeliki Panou, Christoforos Ntantogian, Eirini Karapistoli, Emmanouil Panaousis, Christos Xenakis",9781450369886,,10.1145/3358695.3361753,,,,,https://doi.org/10.1145/3358695.3361753,"OK1, OK2, NOK3",
On the Implementation of Business Process Logic in DLT Nodes,2020,"Thomas Osterland, Thomas Rose, Clemens Putschli",9781450377102,,10.1145/3399871.3399899,,,,,https://doi.org/10.1145/3399871.3399899,"OK1, NOK2",
Towards a Blockchain Based Fall Prediction Model for Aged Care,2019,"Tharuka Rupasinghe, Frada Burstein, Carsten Rudolph, Steven Strange",9781450366038,,10.1145/3290688.3290736,,,,,https://doi.org/10.1145/3290688.3290736,NOK1,
Mitigating LoT Device Based DDoS Attacks Using Blockchain,2018,"Uzair Javaid, Ang Siang, Muhammad Aman, Biplab Sikdar",9781450358385,,10.1145/3211933.3211946,,,,,https://doi.org/10.1145/3211933.3211946,"OK1, NOK2",
Can Blockchains and Linked Data Advance Taxation,2018,Michal Hoffman,9781450356404,,10.1145/3184558.3191555,,,,,https://doi.org/10.1145/3184558.3191555,"OK1, OK2, NOK3",
Conceptualizing a Collaboration Framework between Blockchain Technology and the Internet of Things,2019,"Savsa Pevsic, Milenko Tovsic, Ognjen Ikovic, Milovs Radovanovic, Mirjana Ivanovic, Dragan Bovskovic",9781450371490,,10.1145/3345252.3345279,,,,,https://doi.org/10.1145/3345252.3345279,NOK1,
Analysis of Architectural Variants for Auditable Blockchain-Based Private Data Sharing,2019,"Vincent Reniers, Dimitri Van Landuyt, Paolo Viviani, Bert Lagaisse, Riccardo Lombardi, Wouter Joosen",9781450359337,,10.1145/3297280.3297316,,,,,https://doi.org/10.1145/3297280.3297316,"OK1, OK2, NOK3, Structure",
FalconDB: Blockchain-Based Collaborative Database,2020,"Yanqing Peng, Min Du, Feifei Li, Raymond Cheng, Dawn Song",9781450367356,,10.1145/3318464.3380594,,,,,https://doi.org/10.1145/3318464.3380594,"OK1, NOK2",
Application of Block Chain Technology in Constructing Network Threat Intelligence System,2020,"Shichang Xuan, Hao Tang, Wei Wang, Wu Yang",9781450377676,,10.1145/3390566.3391676,,,,,https://doi.org/10.1145/3390566.3391676,NOK1,
A Novel Blockchain-Based Education Records Verification Solution,2018,"Meng Han, Zhigang Li, Jing He, Dalei Wu, Ying Xie, Asif Baba",9781450359542,,10.1145/3241815.3241870,,,,,https://doi.org/10.1145/3241815.3241870,"OK1, OK2, OK3",
The Potential of Digital Technologies in Commercial and Political Communication,2019,"Olga Ignatjeva, Alexander Pletnev",9781450376709,,10.1145/3373722.3373784,,,,,https://doi.org/10.1145/3373722.3373784,NOK1,
Blockchain for Data Science,2020,"Jiameng Liu, Shaoliang Peng, Chengnian Long, Lijun Wei, Yunhao Liu, Zhihui Tian",9781450377676,,10.1145/3390566.3391681,,,,,https://doi.org/10.1145/3390566.3391681,NOK1,
Measuring the Impact of Blockchain on Healthcare Applications,2019,"Constantinos Loizou, Dimka Karastoyanova, Christos Schizas",9781450360852,,10.1145/3309772.3309806,,,,,https://doi.org/10.1145/3309772.3309806,NOK1,
Blockchain-Enabled Data Provenance in Cloud Datacenter Reengineering,2019,"Haochen Li, Keke Gai, Zhengkang Fang, Liehuang Zhu, Lei Xu, Peng Jiang",9781450367868,,10.1145/3327960.3332382,,,,,https://doi.org/10.1145/3327960.3332382,"OK1, NOK2",
"Opportunities for Applications Using 5G Networks: Requirements, Challenges, and Outlook",2018,"Aaron Ding, Marijn Janssen",9781450365802,,10.1145/3278161.3278166,,,,,https://doi.org/10.1145/3278161.3278166,NOK1,
A Theoretical Framework for Evaluating Government Open Data Platform,2016,"PinYu Chu, HsienLee Tseng",9781450348591,,10.1145/3014087.3014099,,,,,https://doi.org/10.1145/3014087.3014099,NOK1,
Enabling Enterprise Blockchain Interoperability with Trusted Data Transfer (Industry Track),2019,"Ermyas Abebe, Dushyant Behl, Chander Govindarajan, Yining Hu, Dileban Karunamoorthy, Petr Novotny, Vinayaka Pandit, Venkatraman Ramakrishna, Christian Vecchiola",9781450370417,,10.1145/3366626.3368129,,,,,https://doi.org/10.1145/3366626.3368129,NOK1,
Inter Blockchain Communication: A Survey,2019,"Ilham Qasse, Manar Abu Talib, Qassim Nasir",9781450360890,,10.1145/3333165.3333167,,,,,https://doi.org/10.1145/3333165.3333167,NOK1,
Motivating Urban Cycling through a Blockchain-Based Financial Incentives System,2017,"Caroline Jaffe, Cristina Mata, Sepandar Kamvar",9781450351904,,10.1145/3123024.3123141,,,,,https://doi.org/10.1145/3123024.3123141,NOK1,
Research on the Development Path of Blockchain in Shipping Industry,2018,"Hankun Shi, Xuelin Wang",9781450366045,,10.1145/3321619.3321671,,,,,https://doi.org/10.1145/3321619.3321671,NOK1,
Using Blockchain and IoT Technologies to Enhance Intellectual Property Protection,2019,"Jun Lin, Wen Long, Anting Zhang, Yueting Chai",9781450376402,,10.1145/3371238.3371246,,,,,https://doi.org/10.1145/3371238.3371246,NOK1,
PhishLedger: A Decentralized Phishing Data Sharing Mechanism,2019,"Dongjie Liu, Wei Wang, Yang Wang, Yaling Tan",9781450371773,,10.1145/3343147.3343154,,,,,https://doi.org/10.1145/3343147.3343154,NOK1,
BCEAP - A Blockchain Embedded Academic Paradigm to Augment Legacy Education through Application,2019,"Anum Ghaffar, Majid Hussain",9781450371636,,10.1145/3341325.3342036,,,,,https://doi.org/10.1145/3341325.3342036,NOK1,
Data Transparency with Blockchain and AI Ethics,2019,"Elisa Bertino, Ahish Kundu, Zehra Sura",,1936-1955,10.1145/3312750,J. Data and Information Quality,August,,4,https://doi.org/10.1145/3312750,NOK1,
SpeedyChain: A Framework for Decoupling Data from Blockchain for Smart Cities,2018,"Regio Michelin, Ali Dorri, Marco Steger, Roben Lunardi, Salil Kanhere, Raja Jurdak, Avelino Zorzo",9781450360937,,10.1145/3286978.3287019,,,,,https://doi.org/10.1145/3286978.3287019,"OK2, OK1, NOK3",
IoT Passport: A Blockchain-Based Trust Framework for Collaborative Internet-of-Things,2019,"Bo Tang, Hongjuan Kang, Jingwen Fan, Qi Li, Ravi Sandhu",9781450367530,,10.1145/3322431.3326327,,,,,https://doi.org/10.1145/3322431.3326327,NOK1,
Offline Authentication Scheme Based on Blockchain Technology for Smart Lock,2018,"Daoqi Han, Yueming Lu, Xiaofeng Du, Jiefu Gan",9781450365857,,10.1145/3291842.3291893,,,,,https://doi.org/10.1145/3291842.3291893,NOK1,
Data Trading with Differential Privacy in Data Market,2020,Xiao Zheng,9781450376730,,10.1145/3379247.3379271,,,,,https://doi.org/10.1145/3379247.3379271,NOK1,
"Dependable Data Sharing in Dynamic IoT-Systems: Subject-Oriented Process Design, Complex Event Processing, and Blockchains",2019,"Albert Fleischmann, Christian Stary",9781450362504,,10.1145/3329007.3329009,,,,,https://doi.org/10.1145/3329007.3329009,"OK1, NOK2",
Research on Remote Sensing Data Sharing Model Based on Blockchain Technology,2019,"Lei Zhang, Yihua Gao, Jinyu Chen, Xueheng Wang, ZhenYue Huang, Dan Wei",9781450377430,,10.1145/3376044.3376047,,,,,https://doi.org/10.1145/3376044.3376047,"OK1, NOK2",
Infrastructural Grind: Introducing Blockchain Technology in the Shipping Domain,2018,"Karim Jabbar, Pernille Bjorn",9781450355629,,10.1145/3148330.3148345,,,,,https://doi.org/10.1145/3148330.3148345,NOK1,
"Permeability, Interoperability, and Velocity: Entangled Dimensions of Infrastructural Grind at the Intersection of Blockchain and Shipping",2018,"Karim Jabbar, Pernille Bjorn",,2469-7818,10.1145/3288800,Trans. Soc. Comput.,December,,3,https://doi.org/10.1145/3288800,NOK1,
Weighted Forensics Evidence Using Blockchain,2018,David Billard,9781450363938,,10.1145/3219788.3219792,,,,,https://doi.org/10.1145/3219788.3219792,"OK1, NOK2",
Research on Investment Efficiency of Listed Companies Based on DEA Blockchain Concept,2019,"Bin Liu, Shimeng Mei",9781450372138,,10.1145/3362125.3362136,,,,,https://doi.org/10.1145/3362125.3362136,NOK1,
TRIDEnT: Towards a Decentralized Threat Indicator Marketplace,2020,"Nikolaos Alexopoulos, Emmanouil Vasilomanolakis, Stephane Roux, Steven Rowe, Max Muhlhauser",9781450368667,,10.1145/3341105.3374020,,,,,https://doi.org/10.1145/3341105.3374020,NOK1,
Promoting Trust in Interoperability of Systems-of-Systems,2019,Ana Allian,9781450371421,,10.1145/3344948.3344953,,,,,https://doi.org/10.1145/3344948.3344953,NOK1,
Rebuilding Food Supply Chain with Introducing Decentralized Credit Mechanism,2020,"Yu Cui, Hiroki Idota, Masaharu Ota",9781450389457,,10.1145/3429395.3429401,,,,,https://doi.org/10.1145/3429395.3429401,NOK1,
